text;expected_sentiment
I know someone who loves this stuff. I gave mine to her. Didn't like the taste, even though I gave it some time to get used to it. I use True Lemon instead.;negative
walnuts were very mealy....like they were old;negative
"Has Palm oil in it one of the worst oils you can put in your body , Horrible for your health ... Probably cant get money back because I already opened  it
 Natural it is not";negative
Did not enjoyed the taste nor the texture.;negative
New flavor scare weird and the kids don't seem to like most of them.;negative
too hared to to eat, I didn't want to break my teeth;negative
I really just did not like this cereal and I eat pretty much anything.  In fact I bought 4 boxes on sale and still have 3 left.;negative
I didn't like it. Had a nasty aftertaste like it was stale.;negative
You do not get the quantity shown in the picture. You get about 1/3 of what is shown. You get 9 small packages. Way overpriced.;negative
Does not stir in well with liquids and is so sweet it has a bitter taste.;negative
Searched for the fruit slices we used to get years ago -- this is not it.  These are so sicky sweet I couldn't keep them, gave them away.;negative
The flavors are gross - things like raspberry truffle, pina colada (?!!), some other weird concoctions.  I wanted a variety pack but not with some really strange/weird flavors.;negative
they're just ok, nothing to brag about and expensive.;negative
com'n. they are really noodles, not like pictures on the package. just noodles. no sauce or no veggies, not even tiny dried carrots.;negative
Not really worth the price ,but,cannot find in the stores ,so it will do smh;negative
If your idea of a bar is something sweet and mushy, then go for it. The peanuts and chocolate make a very small fraction of the bar. The rest is just mush. There is no crunch.;negative
smells like root beer but cant get it to taste like root beer;negative
These tasted like those old fashioned nasty sugar cake decorations lol.;negative
A decent portion.... if you are buying it for a parakeet;negative
Worst thing I ever tasted!  Tastes like ammonia.  (an ingredient)  I picked up the taste right away, before I knew.  Who would think there would be ammonia in a food?;negative
Really disappointing to find that this duck fat contains soy. Therefore it is NOT Whole30 (or Paleo) compliant. Buyer beware!;negative
When I opened the box EVERY SINGLE BISCOTTI was broken/crumbled.;negative
Jerky package was opened when I got it.. Looked moldy, definitely won't eat it.  (2.85 oz from prime now);negative
Not blue at all needed dark blue for wedding candy table and they  are clearly GREEN. returning;negative
Tastes like chemicals and a little bitter. Blech.;negative
I bought these for my granchildren and while they were good, one of the 4 cans was empty.  The seal popped and hissed when opened but there was nothing in it.  Very disappointed.;negative
could do without the hot chocolates ect.. only coffee fo rme;negative
Not good at all. Certainly no Cherry flavor!;negative
I didn't really care for them very much.;negative
Not crazy about these.  Wouldn't recommend them.  Bleh.  Dry, and chalky tasting to me.  I really don't like these at all.;negative
Good quality nuts, but the price is ridiculous. Start getting it from Harris Teeter which cost 5 dollars a pound.;negative
I do NOT recommend this product. Got mine and the jars are TINY--the size of baby food jars. That's $11.65 for a baby-food jar of almond butter.;negative
Fruit portion good. Cookie crumbles and is tasteless I won't buy it again;negative
I thought it had a chemical taste. I had to throw it out after one use.;negative
I have written this before without a response.  The cookies were broken, stuck together, crushed and not flavorful.  When do I get credit. I through them out.;negative
No, seriously -- this does not smell or taste like buckwheat.... and since it is made in China, I really doubt the labelling. Better u should buy the ones from Eden Foods -- they are fabulous!!;negative
chocolate was grey with age and at some point the caramel inside had melted and come outside in the package.  cannot recommend.;negative
"Bitter as others have commented.  Had to disguise the taste with creamer and sugar.
Not sure if I will g amble again at this price!";negative
Not happy that this salmon is from Thailand. I only knew this when I received the package and the box was labeled product of Thailand.;negative
This is a matter of taste and not a matter of quality or anything else. I simply did not like the flavor.;negative
Tasted a bit rancid.  The bag I got were not very good quality.;negative
you must have a mouth of iron to eat this stuff. even when I cut it to 1/4 teaspoon a quart it was liquid fire. so sorry, no thanks.;negative
This stuff is really just evil fat-making chocolate in a can.;negative
Terrible artificial chemical taste that is called pumpkin spice.  Tried it a few times over a few days, but always the same awful taste.  Even the coffee flavor is hard to find in these k cups.;negative
I'm on low carbs, doctor ordered,and tried to find something that would satisfy my love of chocolate.  This wasn't it.;negative
Edible but purely emergency food. Not something I would stomach again unless there was nothing else.;negative
Not very the best tasting for a vending item.;negative
"Too sweet and doesn't taste like traditional chai or spiced chai - regardless of how much or how little milk was mixed with it.  Very weak in flavor and the sweetener was ""off""";negative
I thought it would smell really good like bread baking ... nope;negative
This soup is wonderful--but the latest order came and every can was dented--some very extensively. Now I am concerned that I won't be able to open all of them, or that the contents will spoil.;negative
Tastes too cardboardy and too salty.;negative
I ordered these after reading the wonderful reviews about kinder chocolate. Well that was disappointing. I have had better chocolate from the grocery store. Much better.;negative
I wanted to try something new and strong. This coffee is horrible. There is such a bitter taste that I had to buy some liquid creamer to get rid of that taste.;negative
most of the pieces were stale, coming out of the wrapper an hard;negative
I don't understand the positive reviews. This thing tastes like...nothing. No taste. May as well just drink hot water and be done with it.;negative
I received the dove chocolates and they were melted.  The ice packs did not stay cold.  I have ordered this before and had no issues, not sure what happened this time.;negative
I won't buy them again. Thet're just not Cookie like.;negative
"I only got 2 packs of 48oz and it is taste weaker.
They says 3 packs each 48oz for $10.92
Ships from and sold by DSLogic.";negative
My son told me about these. Can't figure out what they taste like, but Biscuit and Gravy they aren't.;negative
Like Burdock Root tea, this tea makes me feel ill. The smell alone makes me think of laxitive herbs like Senna leaf. :( It's just not for me. I will stick with Sarsparilla.;negative
Arrived soggy and could not be eaten;negative
Great ingredients but this sauce was very thin. I was looking for thick rich hot fudge, not syrup!;negative
These bread crumbs are much too fine! They are not crumbly at all. They are 'grounded very fine'.  I don't like them for my baking.;negative
my daughter liked them but they were broken and some crushed.and a little stale.but my daughter was satisfied.thank you very much.the last just to get enough words.;negative
Eh its not that spectacular I like the a Guy Fieri hot fudge brownie better. Wont buy this one again;negative
The item shown reflects 1.08 size boxes along with the nutritional information to match. What I received was 0.8 boxes. Horribly deceptive misleading ad.;negative
Wast of money - This candy tastes like P**P.;negative
"I've never seen such a small head of butter lettuce! The size of a soft ball!
Tasted good though.";negative
Unfortunately, I ordered the cake batter and ended up with Macadamia nut. But on the upside, the macadamia one isn't bad at all! :);negative
Tastes great but made me sick to my stomach.  Price was to high.;negative
Tastes like you are drinking green peas! Yuk!;negative
Not as creamy, smooth or full-flavored as what you would normally get from Starbucks.;negative
When I bought this it said a pack of 3 and I only received 1 box? R you kidding me. What a rip off! You changed the listing! After I bought it.;negative
I bought a new Greaat Northern poping machine...followed the pop corn intructions to the T...it was awful...even though I opened one i am going to return.;negative
I disliked this product because the nuts were turning green as soon as I opened the tin. NUT-rition is not what I thought Planters produced.;negative
Not much to say. Nice people but I don't care for this flavor. I've added agave and that's better but don't like the tea itself.;negative
Waxy, lacking in both chocolate and mint. Artificial flavors added. What happened to Lindt?;negative
Not what you would think lots of hard candy but little tiny pc or gum. Will definitely be giving away and will not purchase again.;negative
Too sweet! Tastes fake... Wacky consistency. I use it sparingly in health shakes, if at all. Just buy real all natura peanut butter, drain the oil and use less.;negative
Stays lumpy in coffee.  Not what I was looking for.;negative
Ehh, I wouldn't buy from again. All of them were hard and out of the three pack there really was only one good flavor but again- it was so hard that you could really only suck on it.;negative
not as tasty as they use to be, they use to taste so good like good curry flavor. oh well;negative
Tastes great but nutritional information advertised is totally off from what is delivered.  For an entire can, 21% sodium and 27% cholesterol.  A bit misleading and the only reason for the hit in star count.;negative
all busted. a postoffice guy threw it to the door;negative
The bread has no flavor and did not last long before spoiling.  It took a long time to be received.;negative
"Yes, so much better than standard gum regarding the ingredients. However, never was a fan of ""Chiclets"" . Sadly, have returned to my go to ""Extra"" peppermint gum. Sigh.";negative
for some reason, this tea tastes the way insecticide smells.  it may be the vanilla since the other non-vanilla teas don't have the same taste.  will not buy again.;negative
I purchased two boxes of these and they were both stale, hard and inedible.  I couldn't find an expiration date, so I can't say for sure how old they were, but they were about as gummy as a rock.;negative
The product itself is fine, like the quality is good. I just did not enjoy the flavor. It didn't seem very vanilla-y.;negative
I love these bars, but everytime I order them from Amazon (twice now), they arrive rancid, like they've been sitting in a hot truck or a warehouse for too long.;negative
These are the most disgusting things I've ever tasted. If I could give it less than one star I would. We will be returning these abominations!!!;negative
Gluten free and non gmo but NOT organic!;negative
"Awful tasting--especially the strawberry! I complained to Amazon and got a refund. The first listed ingredient is corn syrup; the stuff tasted like cheap plastic. It went straight into the trash.";negative
Was hoping taste would be better and last longer. Disappointed. Opened to try, so cannot return. Will try another Brand next time.;negative
you know where it says 'may contain blah blah blah'? they should change it to 'probably contains blah blah blah' yeah...allergic people stay away from this irresponsible company.;negative
Not sure what I can use this for but there is no flavor!  Have a add lemon, garlic and other seasonings!;negative
I did not like the taste but that is just me.;negative
Orbit is usually my go-to gum brand, and is also usually a great product, but these pieces are hard and not at all refreshing.;negative
No real Hazelnut taste- no wonder it was so cheap compared to others of the same flavor- will stick with Grove Square.;negative
No glavor at all. Felt like I was eating sawdust.;negative
The 2 Turkey ones were inedible and the beef was just ok. Much better choices on here.;negative
Should put ingredient list on website, am allergic to almonds. This is going to waste.;negative
Has cane sugar in it. I didn't know that & I am trying to take all sugar out of my diet.;negative
They taste SO BAD! and OLD!  Save your money.;negative
Not the best salt substitute.... strong chemical aftertaste.;negative
ABSOLUTELY DO NOT RECOMMEND! CUSTOMERS CHECK THE EXPIRATION DATE ON THE PRODUCT. Mine have arrived already expired.;negative
zero flavor and no pink so where's the added hibic?;negative
BEFORE I PURCHASED THE CHOCOLATE AND CHERRY BARS AND ENJOYED THEM, THEN I BOUGHT THE NUTS AND SPICES, FIRST BAR I BIT INTO FRACTURED AND BROKE A TOOTH, CALLED KIND TO REPORT THE INCIDENT W/OUT ANY REPLY.;negative
The brown rice vermicelli may be fine for specific uses but not for the general use we had in mind.  It simply does not fit in with our meal types.;negative
Product not received as pictured. I purchased through Good Living USA but received the Gold Blend which doesn't taste at all like the Gold that is pictured.;negative
This would be better if it wasn't so sweet.;negative
They where oddly sour.  I won't be buying again.;negative
Worst-tasting instant coffee - I thought it would be in crystals not a thick sticky syrup.;negative
This needed some salt. It was very bland and had I known that the nuts weren't seasoned I would have selected a different brand.;negative
"Tastes extremely bland  .
Not as I had expected as Thai curry at all, very disappointed.";negative
First box open a lot of packets  were hard.;negative
i was a little disappointed cuz there were a fair number of seed that were either bad or just crusty ... other were okay tho.  for the price you pay, they should be great.;negative
This is a favorite product of mine but the majority in the box is always broken every time I've received it, so your not able to use them as they where made to be used.;negative
But it tasted weird and has a strong smoky smell that I can't get past it. Like other reviews, the container is very cute but that all I can say about this product.;negative
About 70% hard almonds and hazelnuts,,,virtually no salt.;negative
Very disappointed. Most of the walnuts in the bag were not fresh. Gave them to the squirrels!;negative
Began to not like the smell or taste. Can't describe..just bad;negative
The taste was less than desirable.  I mixed with other teas but I never noticed any changes or improvements in my sinuses.;negative
Good for kids. I prefer the originals.;negative
Expires in less than a month... Old and tastes old.;negative
"too briny for me, but not too bad.  i gave up after about 5 k-cups.

i like darker roasts and thought this would be

updating this to a 2 star. we don't like it anymore. stopped drinking it altogether";negative
I think Telly's has weakened this coffee.  I used to love it but now it seems weaker?;negative
Just ok.  Not something I would rebuy.;negative
This stuff is almost a powder and it clumps easily and almost tastes burnt. I'm not a fan.;negative
This product is powdery, grainy, and leaves a distasteful aftertaste in your mouth.;negative
The bag had popped open so I don't know if they are okay to eat or not.;negative
I am addicted to gummies, but did not care for this brand at all.;negative
Tried it multiple times and threw it out.  It did taste like bad cough syrup.  LOVE many of the other Amoretti syrups, particularly the peppermint, but this one wasn't a keeper.;negative
Don't like, because I was looking for something more spice. I think they are mild and not very strong. but it is up to your preferences,;negative
I didn't care for the taste of this English breakfast tea. Too bitter for me. Switched back to Twinings and am much happier.;negative
i have high blood pressure so salt in my diet is a concern. I bought this due to the reviews i had read and had high hopes for it. not a chance. it is unedible.;negative
6 of these meat sticks were sliced open and unedible;negative
I ordered for the packaging and price but the flavor is awful.;negative
No matter how I make this, it turns out bad.  Not much food either.  The potatoes and ziti are much more satisfying.;negative
Not crazy about these. Too brittle, hard.;negative
Doesn't taste anything like 'real' lemonade. It's fake , instant . Will never buy this again.;negative
The 3rd ingredient is sulphur dioxide, I'm not happy about it. I think it's misleading not to post the ingredients in a product you're selling.;negative
This was awful!!! I followed the package directions and it was inedible!!  I eat Thai food all the time and I love it.  I had to throw it all out!  Disgusting!;negative
We've been eating ProMax bars, and I wanted to compare them with PowerBars. I like the size and thickness of the PowerBars, but not the taste, and they're considerably more expensive.;negative
I didn't care for this particular brand of cacao nibs.  It had an alcohol taste, like it was fermenting in the package.  I've bought nibs elsewhere, like nutsdotcom, that did not have this weird taste.;negative
This product works but it produces a culture that is too sour for my taste. I prefer different strains.;negative
Had ONE blueberry in the bar. Disappointing and staightup just hard to chew. Tiny portion-1oz. Average taste. Certainly nothing to write home about. :-(;negative
Taste is OK, but sticks come off so easily it's inconvenient and they are a choking hazard.;negative
for my taste, it sucks big time just like Stubbs BBQ;negative
I am tolerating this, too fishy taste, I like another brand better, thought I would try another, I gave away a lot of these....;negative
I liked the Original Sweet and Spicy Good Earth tea some years back. The flavor in this one is not as rich as the original one.;negative
Very light. Not strong at all. Pretty much tastes like sweet watery milk.;negative
I followed directions.  It never developed proerly.;negative
Very hard to get use to using it. I guess if you were going KETO all the way it might be a good find.;negative
This honey smells and taste bad. I tried to use it cause I don't want to waste it. My kids and my husband can't stand the taste and smell. Will not buy again;negative
Hot brown water.  No flavor whatsoever.  Any ideas of what I can do the the other 30 (3 boxes)?;negative
The price is a ripoff. On the bag it says $3.49. that's all this bag is worth! It arrived in shambles;negative
this time I got the grainy sugary apricots that were very undesirable. Far different from the first order I got four months ago. I guess I really cant count on things being the same, it's whatever they have.;negative
"Good full flavored coffee.  It really kick starts my olfactory and taste buds; which aren't what they used to be. My most recent order taste stale, even though the beans are shiny.";negative
I love sour patch kids but will pass on the big ones - they are sweeter than the originals, probably because of how big the gummy is!;negative
"hard to believe this is pure honey,  or that it is raw unfiltered-  ""very""thin and runny,  will not be buying again";negative
I am all for healthy food, but this is bird food. It was not edible in my opinion.  My birds and squirrels loved it though.;negative
Oh god help me.. This is rank!! Nasty!!;negative
strange flavour. perhaps this is what buckwheat is suppose to taste like. i don't know.;negative
The mangoes I received were not ripe.;negative
Not true to any flavor. Can't identify what flavor you are eating unless you read the wrapper first. Not trash but would not order again.;negative
Not the Blue Mountain Coffee I experienced in Jamaica;negative
great quality products but I don't care for taste of them. seems a little weak.  root beer doesnt have a good taste odd strong flavor.;negative
To me was nothing like sour dough. There was no chewy texture or sour dough taste. OK to toast or make french toast.;negative
"In the past, this was a great candy, now it is just awful! All you taste is sugar, with a slight white chocolate or condensed milk taste.

This is just another candy that once was good, but now is awful.";negative
Not cost effective but as described.;negative
All squeezed and damaged except one. Ended up loosing all;negative
I have been buying for years , use to love it ! I recently received a three pack , that came w/ 3.75 oz. bottles not 4 as advertised ? The recipe as also not the same , not hot and saltier ! Disappointing !;negative
Very soapy taste and smell. I was very disappointed and will not recommend this product to anyone. Not what I expected for sure.;negative
Hard and nasty. If youreceived goal is to experience  a cracked tooth or pull out a filling these are for you.  If not, don't waste your money.;negative
I bought this one for myself. But it doesn't turn out good. So I through it away ASAP. It smells different from this type of mushroom usually is! Won't recommend it to anyone!;negative
I had bought these previously and really loved them.  This time the bars were very hard and we had to throw them away.  Very disappointed.;negative
Wanted to love this but I don't. I was expecting a clean, dairy-butter flavor. This product has a caramel flavor component I do not care for.;negative
One star for the company refunding my money. Deducted 4 stars because if we DID eat this sugar plastic sulphur chemical slice, my dentist would get rich;negative
Received two jars. Expires in a couple of months. Green sauce. Did not receive the chopsticks that were still mentioned when i rec product and then was taken off after i questioned.;negative
I purchased 2 of this last year and they were tall and green. This time it came small, tiny, super young bunch. Just doesn't make any sense anywhere in the big house.;negative
so not worth money where's the filling plus the cans were dented;negative
Expires 12/31/15 per bag and candy is already rock hard. I had to open it to find out, so now they are going in the garbage.;negative
This coffee is terrible. It is very weak. I even tried using twice the recommended amount it still turns out like tea. I threw it away.;negative
"very disappointed in this product
the  bottles are lovely however";negative
Flavors aren't true  i expected better coffee doesnth seem high quality;negative
This caused stomach upset for several people in our family. It also has a very cool effect on the mouth which I personally dislike.;negative
I have drank this coffee for yrs, but this stuff tastes awful.;negative
Not as I remember them and very sweet and very sticky, difficult to get the clear cellophane of each piece.;negative
It did not have any hazelnut flavor at all. The coffee is really not hazelnut.;negative
Way over priced & NOTHING SPECIAL, I was greatly disappointed;negative
Okay taste. Chips were very broken when they arrived though.;negative
I TAKE CHANCES WITH THINGS I SHOULDN'T.  END RESULT, I END UP GIVING THEM AWAY.  EVERYONE ELSE LIKED THEM. JUST NOT ME;negative
have purchase 4-5 times and all died?;negative
I like smooth lemon teas but this tea was not for me. I also felt like the one I got wasn't as fresh as I'd hope. =/;negative
Horribly bitter and not decaf as was input in the coffee's specs in Amazon's search.;negative
hate the taste almost no coffee flavour;negative
The salt was clumped together and a lot of moisture in the bag! Could not use in my grinder....;negative
No soup packets kinda yucky had to make my own broth won't order again;negative
These things will burn off your tongue and throat. You cannot even eat half the bag in one sitting. Even worse, they are very salty, so if you suffer from high blood pressure do not buy this item!!!;negative
Arrived dripping out of the bottom of the box,;negative
These are yummy but too expensive for the box.;negative
This product had been labled as having Sea salt ,which in fact did not. Also it had MSG in it which I am Allergic too. I gave it to the needy.;negative
I found the taste to be phony lime not a true lime flaor. There was an aftertaste.  Perhaps if you mixed it with another ingredient like pineapple or coconut;negative
"the cups are not the product shown in the picture
dont know what type or roast are these cups
not the best deal either
the taste is alright
bit i won't buy again";negative
"Ive purchased a lot of vanilla over the years and this was by far the worse.
The vanilla been was dry and not plump at all they were also small.";negative
The chestnuts had a ghastly taste and texture to them.  We put them outside for the birds.;negative
NOT cream at all!! I was expecting the stuff like when I get it in a can and it's got the thick paste like glob that's the actual cream-this is just the liquid milk!!  Very disappointed.;negative
"These do not sprout.  Instead, they turn into a ""tadpoleesque goopy"" blob that will not drain thru the strainer screen. Gross! I want my money back!";negative
This would have been cute for the baby shower favors I was going to make but I never actually got them.;negative
I like quinoa, coconut, and blueberries, but wasn't a big fan of this. Also, be aware that this is not a pretty violet color. This looks gray and almost moldy (but it wasn't). The appearance doesn't help.;negative
This is very thick and I don't like the taste. BTW, it contains GMO items and artificial flavors. I suppose it would be filling and provide adequate nutrition in a pinch, but it gave me a stomach ache.;negative
These are sugar free but way too sweet for my taste. It had a fake chocolate taste and gave me diarhea.;negative
I think I got caught up in the brand name. it's okay but I don't get a stong flavor with this tazo.;negative
Chocolate coating was dry, discolored, and old.;negative
I can't give an opinion on the taste because this DOES NOT WORK in my Keurig 2.0;negative
Overpriced, sticks to your teeth similar to Now-n-laters, and has little licorice flavor, to top it off it took over a month to arrive.;negative
Local grocery wings sells $1 per pound  raw chicken wings. why pay more that something you can cook for yourself.;negative
Hate the flavor. I imagine it is a good product, just not for me.;negative
These tasted WEIRD. TOO many calories for a keto diet. Youre better off eating some real cheese.;negative
"This product must be taken out of your list
I am sorry to report that the walnuts where dark brown and taste old, very!
I wander how they sale such a product and venture lose buyers forever!";negative
"I  love good coffee cake and was quite impressed at the calorie coutn on this product.
I went and ordered and must say  am quite disappointed.
cloyingly sweet";negative
These tasted great, however, they triggered my miagrane headaches.  Not sure if it was something they use to produce their decaf?  Couldn't use them without a headache.;negative
I opened the bag to try these for the first time and almost broke a tooth.  They were like a bag of pebbles.  Am looking now for ways to make them edible.;negative
I had high hopes for this organic popcorn.  Big disappointment.  Kernels are too small.  One third of every batch are left either completely un-popped or partially popped.  Two Stars Only.;negative
Neither the mustard nor the horseradish taste is clear and strong enough.;negative
This is not spaghetti. My rule spaghetti has to be between 1.92mm to 2.00mm dried this is about 1mm dried... so it fits into angel hair category. Taste wasn't bad but can't compare to normal spaghetti.;negative
The description did not note that there is so much pepper, that it is impossible to taste anything else.  This was a total loss.  Instead of spicing up salads, this ruined them.  Never buy again.;negative
Not for the my machine. Seller did not accept returns.;negative
Arrived stale and inedible. You can chew them foreved and never get the grit out of your mouth. Needs salt.;negative
Didnt like it due to texture of mix;negative
Unfortunately, this tastes nothing like coffee and overall I really hated the flavor. I will just stick to mixing some whey protein into my regular coffee as I was doing before.;negative
It has graham in it so if you can't have wheat beware, I had to send it back.;negative
It said it was Double Stuff and it wasnt. It was a just a single layer like regular Oreo's. I didn't really like them, I had a couple of them, my roommate liked them and I sent some home with my Grandson.;negative
There is soy in this product - unclear in the description prior to ordering.;negative
Too sweet.  Just could not eat them although I do like the dark chocolate ones.;negative
They seemed a bit on the old side and not as good as the other batch I bought.;negative
This was not a snack for me. It just did not work for me. The price on this snack was a litte over for the amout you got.;negative
The tin is great and reusable. The tea went in the trash. Tea Forte makes other teas that I love. Not this one though.;negative
The packaging was great as usual.  But, I never liked the tasste of any of the product and was extremely disappointed in product for price.  Quite pricy for something that has no taste.;negative
Not good. Smells and tastes like wood.;negative
Not the one I remember from my youth... very  oversweet;negative
kinda skimpy and small. not really full;negative
Taste like any other decaf coffee, no hint of caramel.;negative
The boxes say these are naturally flavored but they tasted like aspartame was used as part of the flavoring. I'm not a fan of that diet flavoring;negative
Didn't care for the taste or thin texture of this product. Expected it to be thicker and creamier, not watery and thin. Will not be purchasing again.;negative
They are hard to eat. I tried toasting & they burned. We fried them like a tortilla & you couldn't bite into it!;negative
So so salty...I honestly can't eat it.  It's not spicy enough for me either.;negative
i thought thay would taste better. i realized i needed them dipped in chocolate, its what im used to.;negative
It tastes nothing like bubblegum to me.  Two of my four kids like it, but I think it tastes like chemicals.;negative
followed the directions twice and could not get rid of the fishy smell not to mention the little things are slimy;negative
Bad flavor very strong and sour. Not good for anything but topping popcorn and then it doesn't  even stick to it...;negative
Not what they use at Starbucks. I need to use a lot to see the difference and it tastes like a sugar syrup. I cannot taste vanilla at all.;negative
Product is so sickeningly sweet it is impossible to eat.  I have purchased numerous other Sincerely Nuts products and they were delicious.;negative
Tastes nothing like the regular small size sweet rolls. And tasted stale.;negative
Too much syrup not enough plums per can;negative
Bland and tasteless!  Not sweer at all!;negative
I did not like this chai tea at all!;negative
The cardboard containers holding the cheese wedges were soaking wet so I was afraid to eat it. I should have sent it back, can't remember why I didn't.;negative
Much of the candy purchased for Halloween had previously been melted and was misshapen and had that white-ish look on the chocolate.  Disappointed in the quality.;negative
So Hard, not soft candy.  Makes I think it's not fresh.  Will never buy again.;negative
Works great but not with colder hamburger.;negative
The first couple of bites are decent but the taste and density get old quickly. Only recommend for emergencies.;negative
TOO MUCH SALT IN THIS AND EXTREMELY EXPENSIVE FOR THE SMALL SIZE. PRICE HAS TRIPLED IN LAST 2 years.  RIDICULOUS.;negative
This stuff was terrible. You may as well stick to plain water. Also note: if you do buy this, be aware that each packet is measured only for 16oz bottled water.;negative
These are thinner and the chocolate is somehow stronger tasting, and not in a good way.  How sad that the old Twizzlers are gone.;negative
I purchased 4 of these and I am really sorry.  This is WAY TOO SALTY!  Ruined my gravy - will not purchase again.;negative
I liked it but every time I ate it, it would burn my mouth.;negative
"May be the worst coffee Ive ever purchased. It says Caramel Machiatto......in your dreams. Honestly, there isn't even a smell of caramel.
If it wasn't so dang much trouble Id return it!";negative
This product is an excitotoxon.  It works similar to MSG.  Do the resurch.;negative
I bought my 6 year old daughter, the product does not taste good to her, maybe if you could create a filling of chocolate, was more suitable for children;negative
no taste at all.  lousy flavor ad way to $$$ for the quality  I will sell my soda stream first garage sale of the new year;negative
Do not bother with ordering this or anything else Katz. You pay money for shipping that they delay for over a week.  Item was rotten, molded. Nasty.;negative
Dog opened package, did not get them;negative
Don't like the price, our local Fred Meyer grocery sells a package of 40 for 7.99!!!!  They taste good but not THAT good.;negative
Can't get the flavor right.  It leaves a bitter taste in my mouth.;negative
Tastes very chemical to me.  It has a strong aftertaste that lingers on and on for a long time....;negative
"This product came already open and dates were spilled in the amazon box :( so I'll give ou a bad review

thanks";negative
Yummy. But half of the chips were crushed and broken on the bottom of the container. Don't understand why because the package was undamaged!!;negative
Taste great but much to expensive for the small container. Atwoods Farm Supply has it in much larger containers and much cheaper..;negative
The chips were thin and dry and therefore very disappointing.  The flavor was nice but it was overwhelmed by the otherwise cheap type of chip.;negative
you are better off mixing your own this product does not smell fresh at all.;negative
I DONT LIKE THE TASTE AND WOULD  NOT RECOMMEND;negative
Gross. Yet another one of Zhenas teas that smells like chemicals and taste the same as it smells.  No lavender taste at all. I'll just stick with your rose tea.;negative
I was very disappointed to find out these were spiced.  I hate spiced jelly beans and was so looking forward to enjoying these.  If it mentioned it anywhere I sure didn't see it or I would never have ordered.;negative
Not the greatest vanilla. I had to use 3 times the amount to get a good vanilla flavor. Save your money.;negative
Doesn't help with my stomach discomfort at all, infact I think it makes me feel more bloated so I stopped drinking it and have tried some other things that are working.;negative
I accidently ordered 2 and want t return one unopened. THANKS;negative
too salty.  will probably not order again;negative
"I was happy until I realized that the main ingredient after water is caramel color - which is apparently very toxic.
Darn.  Off to buy the clear version.";negative
Couldn't get over the texture, but it was just like i expectated, which was not good.;negative
Gross coffee.  You have to find an air tight container to keep it fresh as once you open the package,  they are all open;negative
Taste was ok but all 4 bottles were heavily bent and damaged so I couldn't use for gifts as planned.;negative
It was kind of bitter compared to the Balsamic I regularly use.  Not worth the extra $$.;negative
