text;expected_sentiment
Just awful, waste of $$. Skip it.;negative
The music is pretty good, but what upset me was the tracks are out of order. It just took me out of it.;negative
Not the ORIGINAL CUT, SO DON'T WASTE YOUR MONEY ON THIS.;negative
I just didn't care for this arrangement.  I'm sure many other people will like it very much. It's been deleted from my music.;negative
I would not get this unless you are Jewish.;negative
What happened??;negative
"not my favorite Brittany album but it was okay overall.
would not by it. Maybe just borrow it from the library next time.";negative
Not really a good Mary cd;negative
I don't remember purchasing it maybe it was a request for a song that I had to have for a party;negative
Has a nice beat and is easy to dance to. I give it a rating based upon my tastes. Your mileage may differ!;negative
I don't have any idea about this. I don't even know who this is. so I cant rate it. sorry.;negative
Another DOUBLE purchase - wish songs would be listed and NOT ALBUMS - causes too many DOUBLE PURCHASES!!!!!;negative
Sorry redman delivers a lackluster and just dreadful piece of work hopeful his muddy waters 2 will live up to the hype;negative
"Discovered that I can't stand her voice. Only plays in Amazon app or on mp3 player; not compatible with Apple products.";negative
Everything great thanks much;negative
Too sad.  Must be a liberal;negative
Purchased by an ex-friend who figured out how to hack my account 4+ years ago.;negative
overated. I don't know why I bought it.. I feel stupid... but what can I do now right? lol so yea...;negative
like the music but the lyrics are Satanic and I'm a Christian;negative
I wasn't expecting a Hip Hop style Boy George. This wasn't my cup of tea, so I deleted it immediately.;negative
Purched by mistake.;negative
thought I liked it but it gets old quickly. oh, this is an old song. Dah. I have it on my oldies list.;negative
Bought the whole album and only listen to once song.;negative
This had alot of static in it.;negative
"Liked it; but now I'm kinda sick of hearing it.";negative
Its way too mellow and the guitars are pretty much non existent so its pretty boring;negative
Didn't know there was like an interview at the beginning and end of the song.;negative
I had all sorts of tech issues. The music itself is great.;negative
Don't care for it.;negative
"I;d like it if I could listen to it?";negative
Not the full version.;negative
I do not like this singer;negative
Out of all of her songs, this is her best one, and that's not saying or making anything better.;negative
"I don't know where all these songs went...
There gone.";negative
Sorry but......STUPID !! Song;negative
My mom made me order this crap;negative
I really was disappointed by the song;negative
I did not find anything special here, mediocre, nothing kept me listening to it again & again, so deleted it.;negative
i did not buy this so not sure why i'm asked to rate it.. Can someone explain why i have to rate it as a purchase I made?;negative
Not my favorite kid Rock cd. Worthy of  a list to though. Album NOT fun as last slbums.;negative
This was a replacement CD and made the same error at the same time.  This time asking for a refund. Bad stack of CDs was made.;negative
I'm clearing off my review list. This was a purchase for someone who WANTED it. Thus, they liked it. I personally am not a fan.;negative
Really bad CD;negative
After loving this song at first it has now become the most annoying song ever.;negative
Part 2 is pretty unnecessary. Just go get Part 1, and you'll be better for it.;negative
Just not my type of music. If you like metal you might like this! Music is all a personal choice and mine isn't metal.;negative
"This is good listening music for the young; dancing too I guess. Too young for me but I still recommend it.";negative
song is OK, not really my style i guess.  I didn't enjoy it but if this type of music is your thing, than go ahead.;negative
Free download..  kinda blah, but can't resist free...  lol;negative
I thought it was a cute commercial song and found out that this particular song didn't cut the mustard for me. Sorry!;negative
This is one of my favorite songs, but the sound quality is HORRIBLE!!!  Save your money & buy this song from another source.;negative
For what it is its good but it's just not my style.;negative
Didn't realize that this was an Elvis Costello project! T Bone did what he could with it! 20 tracks/18 songs of Folk/R&B! Thanx!;negative
not what I expected, just not my style;negative
Remade, NOT the original!;negative
It wasn't that good;negative
Corey Taylors voice= Just awful. Could use some more chest voice and less nasal screeches.;negative
Sounds better online.;negative
Old, but it is one of the originals and so it is good dance music as well as sing along.;negative
IS IT POSSIBLE THAT THESE SONGS ARE STILL IN THE SYSTEM AND I CAN DOWNLOAD THEM AGAIN...I DID NOT RECEIVE ON MY IPOD.....;negative
"It doesn't work, I bought it 2 or 3 times
This was a digital purchase";negative
the music industry relly sucks in the sense that there is no. music industry sucks really bad there is no;negative
Just ok,not really my style. Some songs should not be messed with too much and think this one was overdone;negative
Didn't get the correct song. Got Guys Have me You instead;negative
song skips so I don't enjoy it;negative
downloaded for a friend... not my thing;negative
"A beautiful song, but it's full length of five minutes plus is
not achieved, so I will only give this song a one star only.";negative
It ain't fun.;negative
"It""s just OK.";negative
I imagine that this would be nice if it was a whole cd,but from what I heard I just thought it was okay.;negative
NOTHING LIKE iTunes reliability;negative
I got this as a gift for big fan of Pink Floyd, but they were sorely disappointed in this CD from Roger Waters.;negative
very disappointed in this version and not worth the money look for a more traditional rendition of this song song;negative
This was not my favorite rendition of over the rainbow.;negative
8 out of 71 keepers.;negative
I like Twisted Sister original music but didn't think this was their forte.;negative
Just the same words bunched together,  incoherently.;negative
I didn't like a single track from the album.;negative
Not the original;negative
Just ok. This is like listening to an unknown ok pianist. Nothing special or inspiring here. Skip it this time.;negative
I absolutely hated this song and I deleted it after listening to it once!! I wouldn't recommend it to anyone 8o(;negative
once i saw the video, everything i felt about this song changed..;negative
Problem with upload and purchase redundant. copies;negative
I ordered this song by mistake on my phone i was looking for another song so sorry i was looking for something else;negative
I downloaded it.;negative
Had to buy for a video!;negative
Can't figure this one out.  I got it with something else but I never listen to it.  I wouldn't recommend it.;negative
Did not purchase this book either or whatever it is - did not purchase this one.  Cannot rate it.  Sorry.;negative
This is a fun song to listen to while I clean house or work out. So there you go, folks.;neutral
bought this for a friends daughter's funeral!  Not a big fan of Billy Joel but bought this for my friend.;neutral
This song is alright. I got the album on a whim since it was free and I realized this isn't my kind of music;neutral
when i heard this song i thought it was funny because it was comparing love to bunnies so i would laugh every time;neutral
got it for a greatest hits cd for pop. loved it when i was younger.;neutral
It brings back memories, maybe some I try to forget.;neutral
Was okay not crazy over this CD...;neutral
not their best song, but good enough;neutral
not crazy about it;neutral
Brian Culbertson offering  pretty good.;neutral
Pretty Good for 20 some odd years later, but nothing like the original.;neutral
This is a nice track and I like that he teamed up with Taylor Swift and Keith Urban. Good listening.;neutral
Relax and enjoy the music;neutral
Slow and sad.;neutral
This song has some very interesting lyrics and entertaining lyrics but not a song that I listen to any longer.;neutral
Very good song.;neutral
You may or might not like this I prefer to wait until the album comes out I think the album is very good.;neutral
I liked the message of this song. The harmony was nice. It made me think of something you 'd expect to hear from the Gaithers.;neutral
Just to add something current to the workout mix. Not classic material and will be forgotten in time.;neutral
Children would love it, selected for the children.;neutral
It's ok takes ya back a few years when music was fun.;neutral
some not clear sound recordings;neutral
It is not the movie version, the ending was changed substantially and the movie one was quite a bit better.;neutral
I was not to pleased with my purchase, but will give another try, I know that I will find something I like.;neutral
It is what it says it is.  I expected more than just the bowl.  Not here.;neutral
didn't remember that it is slightly creepy even though I like the melody etc...the Doors went overboard with the macabre;neutral
Good song. Slow ballad.;neutral
Great album from one of my favs;neutral
Wasn't as good as I had hoped but would buy it again.;neutral
Nothing jumped out and grabbed me, but a few nice tracks. Seems we've hit saturation in music, nothing new or breakout here.;neutral
It's awesome!;neutral
like both artists--this song ok!;neutral
I like this song, it is worth buying and spending the money on.  Instrumentals and the vocals are great.  Good lyrics. (wife);neutral
Ordered by mistake.. Too riskey;neutral
Christmas is my favorite time of the year any music will do but I like more of a traditional carroling cd.;neutral
The song is done nicely, but not one of my favorites.;neutral
Just what you'd expect.;neutral
I love music instrumentals and this was good, not the best I've heard, but it does a nice job at getting me to dance.;neutral
Ordered for my husband as one of his favorites.  I personally can take it or leave it.  Just mediocre for my taste.;neutral
Not my cup of tea regarding gospel.;neutral
It's Kansas.  They weren't what I'd call OMG great, but they're ok.  Don't know why I have this on here twice.;neutral
Not as good other CDs TSO has produced.;neutral
Was a bit too long for me.;neutral
Some bands from the eighties and my teenager years are just not what I remember them as...Still good have;neutral
i like this song its good actually;neutral
When I first heard the song was on the radio, sounded a lot better before I bought it and d/l it!;neutral
I would probably rate it higher if I actually had it downloaded.;neutral
nothing special about this album he stays in his simple lane.;neutral
I liked it. Definitely doesn't rate with the best music I've heard though. Would recommend giving it a listen though;neutral
I like Carrie Underwood's version better;neutral
ITS OKAY FOR A SONG.;neutral
Has a nice beat and is easy to dance to. I give it a rating based upon my tastes. Your mileage may differ!;neutral
What can I say, I got into the worldwide craze when the song hit the clubs and radio a la 'Macarena' from the '90's.;neutral
"Good music from Amazon's ""Freebie"" section (at least it was when I got it).";neutral
Good song. I use it for my walks. Tends to fade out occasionally.;neutral
Cool, but a bit preachy at times.;neutral
The song will take you away from where ever you are and submerge you in the sound. Enjoyable to space out to...;neutral
Semi-OK acoustic pop but not a great artist, not yet anyway.;neutral
"Good song; very catchy.";neutral
actually this is sort of weird, good beat, high pitched male voice is odd;neutral
melodic, soft and subtle...not usually the words used to describe Rihanna, but this new sound fits her well.;neutral
It was nice and I'm glad it was Free;neutral
It's ok there is only one song that I liked on this cd.;neutral
Another fine vocal performance by Bobby Rydell.  Not as upbeat as some of his other hits, but still a great song.;neutral
It was alright;neutral
All I want to do is give this some stars.  No description is needed to make it sound any cooler.;neutral
another weird but ok song;neutral
Worth the money.;neutral
Don't like Miranda, only listen to it because of Carrie.;neutral
its a great sound to a night of party or a get you moving sound tech style that sounds addictive;neutral
I would say anyone who enjoys country music would enjoy this song! Zac Brown Band is one of the better newer bands.;neutral
It's not bad, but a little too slow.;neutral
its okay i only like lil waynes part;neutral
for granddaughter;neutral
Very good song, mediocre voice with a few flat notes that lend character to a song and lyrics that question the events of life.;neutral
I knew this song.  It was what I expected.  For a friend.;neutral
exactly what I expected;neutral
Enjoy a good nights sleep with this wonderful music that relaxes you & allows your brain to shut down & tune out the world.;neutral
Needed for a mix dating to a year, not my fave song, now that I hear it again. Quality of song recording is good.;neutral
I just bought this song because my husband likes it.;neutral
I felt like there should have been more to the delivery to this song, but it's nice to listen, every now and again...;neutral
Bloop! Bloop! Glorble!;neutral
I once had this song a while back, I just couldn't put on my computer.;neutral
I have several versions of this song. Each of them are different, but similar. I like the soft version of this song best.;neutral
this song will always remind me of the hangover I just loved it in that movie and it's the only hip hop or rap song I own;neutral
classical Haydn is good but not everyone does it good;neutral
It was ok, it isn't my style of music but how can you complain about free. I listened to it a few times.;neutral
Enjoyable. cannot sing to it though as my tone is way too low and flat.;neutral
Song is anointed and I love this version but it cuts off too short, would like the whole song.;neutral
its OK for the price;neutral
Its like half great songs, half meh songs should have picked the ones i liked out instead of buying the whole thing.;neutral
It was ok but not my usual style. Good lyrics but a bit off the norm. Ok for a casual listen but not a steady diet.;neutral
Not bad, chick style song.;neutral
Overplayed on the radio, but I still like it!  Catchy!;neutral
good dancing song for events;neutral
Not better than her mixtapes. Could have had better production.;neutral
A freebie from our friends at Amazon.  I always enjoy a good freebie, it is a great way to try things.;neutral
I thought it would be better.  It's got some good songs, but that is about it.  I don't know if I would buy all of the album.;neutral
It's OK. It was just not my style of music to listen to.;neutral
A very nice little track for your collection.  I wish the bit rate was higher.;neutral
Kid Rock needs to go back to rock/rap.;neutral
Good song, but the quality could have been a little better. Not bad by no means, but not great either.;neutral
Well, I loved their first two albums, but as bands do, they evolve.;neutral
great song song;neutral
"Good rap song , pretty much a standard format type song in the ""Too Short"" paradigm.";neutral
a fair album was not in it as much as I thought I would have been;neutral
Kind of sad great tunes.;neutral
Good buy from Amazon.;neutral
Son likes song... I do not.;neutral
Excellent Product;neutral
It is a much, much shorter version than I expected.  Would have liked it better if it was like the radio edit.;neutral
I want to like this guys' talent. So far, only two songs made the cut for me.;neutral
I like it but so far haven't played it a lot. I am sure I will in due time. you are pushing my buttons;neutral
"This is an okay song.
It isn't what I expected when I bought it.";neutral
Beautiful song;neutral
Bruno Mars Has a Lot Of Good Songs And I Have Alot From Him, His Music Is Great For Clubbing And Listening.;neutral
Catchy, creative song about an unusual subject.;neutral
Eh, disappointed...;neutral
Okay.  Same sound as the first album.  Some songs okay, some not compelling.;neutral
It was alright music, just wasn't what I was looking for. It's possible that someone else would like this CD.;neutral
Catchy catchy;neutral
Forgot how good they sound;neutral
Nice jam great voice;neutral
Its ok. I just got it because it was free on veterans day. Its just not the type of music I listen to;neutral
"It worked, but it took some editing to get rid of baby noises. That was my only disappointment; I love the song otherwise. :)";neutral
If R&B is your genre, this is a winner. Give it a listen. You may like it. It is a good song.;neutral
meh, so so......truth meh;neutral
not what I expected, just not my style;neutral
It has a few memorable moments, but it doesn't have the same power as some of her older CDs. Shame really.;neutral
Must have gotten this one free.  Not memorable;neutral
Does it really matter what I think?;neutral
This is the slow version of the song. I bought the wrong song. Be sure this is the song you want.;neutral
Now I know why I only have one disc of his.  Not great not bad, he is a singer. Not much more I can say.;neutral
A good song that was on the radio a good deal, very recongnizable;neutral
It's a good look at you so;neutral
The singing is a little off key but I like the band;neutral
The beat is good, not a fan of the lyrics.;neutral
She does a good job but i'm not sure it's a style that i like BUT it is something different.;neutral
Free download;neutral
It was an Ok tune.  I wish the bit rate was higher.;neutral
also like this one as well;neutral
not my type of regligous music it ok;neutral
used to make a greatest hits cd for my dad. sounds awesome.;neutral
Nothing outstanding here.;neutral
Very hard to hear it;neutral
This was not what I was looking for but it was no to bad, it just was not what I thought it was.;neutral
This was not the song I was looking for so I was disappointed, but it is OK.  The error was mine totally.;neutral
The beat is great, Nikki's verse is okay.;neutral
Got this son for a family member;neutral
IT'S OK THANK YOU;neutral
A catch tune...;neutral
this is allright. this song is not the kind of music i usally listen to.;neutral
The old Zorba the Greek song. Not as good as the newer version. But still OK if you like that sort of thing.;neutral
Wasn't the version i wanted... there is an extended version... be sure the songs you are wanting are on this one.  :(;neutral
If you are not listening closely, it's pretty good.  Price is right.  Celtic music is kind of all the same though.;neutral
An original can never be replaced;neutral
It's okay. Different, but not great or ground breaking.;neutral
It was free and worth a listen, though after I had I was not enamored with the artisit or the tune.;neutral
Awesome take on a classic.;neutral
Not great but some great moments.;neutral
Not really music, more like  noise.  While  not offensive,  it is really calming either.;neutral
Ok other than the curse word;neutral
Bought for someone else.;neutral
I like this song. It isn't one of my favorite songs by her, but I have it so I can listen to it sometimes.;neutral
This song is a bit long, but we played it at my husband's funeral.  It was just ok.  Very old school southern gospel sound.;neutral
Both my husband and I enjoy the music, it gets you going.  The words are okay, but the music is a lot of fun.  Good. Good.;neutral
Great song. Bought it and downloaded it. Horrible sound quality.;neutral
A gift for my daughter. Don't listen to this stuff. Not very country to me;neutral
It's fine. Nice tune.;neutral
"Love Brooks & Dunn, this is a really good country album, good
enough to call it Brooks & Dunn";neutral
I liked Liam Finn and Eliza Jane. They play very good music and are a talented group. She has a good voice.;neutral
Really like the radio version of the song, so thought the extended would be nice...it's ok, but just very repetitive.;neutral
I like this song but for me it is too slow. I'm sure it is better that way just does not appeal to me at that speed.;neutral
A decent choice for working out at the gym, for sure!;neutral
The history of Christian music for a dollar!  Too much of it is very grave and of course, not in English;neutral
Not a fan, I decided after purchase. My fault.;neutral
It's been a long time since I've listened to this song, so I got it and it still sounds good.;neutral
Great product and packaging was great . Perfect music for the holidays and it is worth the buy . Merry Xmas;positive
Ive bought two versions of this song , version with Nicki Minaj , and version without. I like the version with her much better.;positive
Lovin' listening to Ms. Stefani. She makes music fun and joyful!;positive
Love it, Love it, Love it.;positive
Great product;positive
Great song. Wish my oldest son would listen to it.;positive
One of my favorites! So very glad they are back on the scene for all of us to enjoy! Love the different music on this album.;positive
Love the music.;positive
A unique song that has been in several commercials. It makes you want to get and dance.;positive
Peacefull music.;positive
This song gets me on my feet. I smile when I think about the music.;positive
The original version of the song, which Telsa tries to sing but not the same way.;positive
If  you love Mr. Osborne you will love this song, this songs is for lovers only!!! Try it and rate it yourself>;positive
This isn't from a live or concert, it's a studio version. It's the one I always hear at the bar or for karaoke.;positive
Great christian hip hop;positive
Fab music, very roots.;positive
No other can sing like this man...;positive
Just a good feeling, make you want to put on your boots and dance kind of song! I play it alot.;positive
Music review is based solely off of personal taste.  Just because I like it doesn't mean you will.  I love this one.;positive
Song my husband has been looking for, for a very long time bought it for him;positive
This is one of the greatest songs out of the trip hop era.  It's been out for awhile but it stands the test of time.;positive
I love this song, very uplifting.;positive
Enjoy listening to this song;positive
A worship song they I will forever sing!;positive
LOVE, LOVE , LOVE ANNE LENOX!;positive
one of the great songs of all time.;positive
nice... basic and flowing!;positive
Brings back memories! Great song.;positive
Really, this song has become iconic. Sort of a daily listener when I have my music turned on on my phone!;positive
Great running tune;positive
favorite singer/group.;positive
Love these old jams!! Never go out of style..Classic Stephanie Mills...;positive
Awesome and more mature than previous albums!;positive
Really great song, love 70s music and 80s, it's all good and great and dandy ah ah Keep on rockin;positive
Love this song.  Love Katy Perry!;positive
Kurt Cobain does this old blues song justice. Not one to miss.;positive
Excellent Choice!;positive
This song is one of my absolute favorites.  If you download this, it will be one of yours as well.;positive
The group who produced endless hit songs still can bring me to tears and fill me with emotion.;positive
Great rock an roll music;positive
and remembered how much I liked it. I can depend on Amazon.mp3 to find some of my favorite old music;positive
Wow! Awesome song. Thank you.;positive
Great 80s slow jam!!;positive
a very funny - well sung - song about vengeance for cheating;positive
Wonderful  and inspiring song.  Love it.;positive
You just can't say this song title without laughing.  Anyway, a true 70's classic.;positive
Love her music;positive
Love this song by Jackie - love the video also. As always Jackie delivers only the BEST!;positive
Never get old hearing this song, classic;positive
Will enjoy it like the other Tim McGraw songs.;positive
Where country comes from.  Straightforward, sincere.  They say Ray Price owned a lot of stuff in Nashville: he earned it.;positive
I love this song another one that makes me laugh.;positive
Another must have Dylan tune;positive
This is an oldy but a goody.  I like a lot of Journey music, but definitely this one.;positive
I REALLY like this CD.  I highly recommend it!!  A definite must buy if you are a Matthew West fan,;positive
love being able to find old music. It is the same as I remember from listening to the old 45's.;positive
Album #3, 5th CD of different material finds Ms. Rae returning to the more soft soul/pop of her glistening debut.;positive
Love the arrangement on this hym. Chris Tomlin has an amazing voice.;positive
Best CD from Chilliwack;positive
I heard this for the first time on the radio this week and I liked it because I thought that it was smooth.;positive
My favorite Shinedown song. It makes you think. It makes you want to just sing along. Crank it up and enjoy. :);positive
She warms my heart with this beautiful song which has been one of my favorites for years. Buy yours today!;positive
Avery good, enjoyable and attractive song;positive
"Love the beat -- it sounds perfect on my iRiver - one of my favorites for the ""dreadmill""!!  Would recommend!";positive
Liked the song when it was new but never got it until now.;positive
Still love this music all these years later.  Glad I found it.  Please keep adding to your library and I will keep buying.;positive
Love the song, and have always loved it since it first came out. Probably had it on cassette. I was glad to purchase it again;positive
Fun, catchy and snappy song;positive
I recommend this song to anyone who needs a spiritual lifting or just a good song to help cheer them up.;positive
One of the few songs I like by him. It gets stuck in my head a lot.;positive
good song to do a lil dance for your hubby or significant other to. I remember hearing this song in strip clubs overseas! :-);positive
Awesome lyrics and hard hitting opening! This is my favorite song by her.;positive
Good beat for walking;positive
like the song even though it's kind of sad;positive
Great collections.;positive
Another classic! They want more words before this will submit, so ignore the rest as it will be a lot of nonsense.;positive
I don't know much about music but it sounds good and meets my needs.;positive
Sorta juvenile. Just a song.;positive
Addicting song;positive
Great history - incredible music.;positive
I have just listened  a few times. I sure it will grow on me. Carrie's music pretty awesome.;positive
Still a great song;positive
One of my favorite singer, love her music.;positive
MercyMe had a few good songs.;positive
everyone is singing this one...katy can you do me a favor and parter up with Romeo Santos or Prince Royce???;positive
I like the simplicity of the download. for me simplicity is everything I have yet to embrace the current technology;positive
This song is upbeat and uplifting.;positive
One of Dylan's best!;positive
Good song sounds great;positive
What a great deep voice, makes my wife excited, and that makes ME happy.;positive
One of the most interesting songs I have ever heard.  I fell in love with it when I first heard it.;positive
You tell everybody.  You can tell everybody.  Go ahead tell everybody.  I liked the song.;positive
Although this is a country song, Jo Dee was awesome and this song was borderline pop/rock.;positive
Easy Download!!!!!!!!!!!!!!!!!! Fast Download!!!!!!!!!!!!!!!!!!!!!!!!!! No Problems what so ever!!!!!!!!!!!!!!!!!!!!;positive
This has always been one of my favorite songs from this artist. I will soon download a few more songs;positive
"One of the best songs in years.  So much ""new"" country music has gone pop.  Love this group";positive
Good song for easy listening and romance. The quality is good, easy to download to cloud player and to computer and ipod.;positive
Great music reminding us to surrender to God and He will do everything for you.;positive
I love the catchty lyrics and smooth beat. Kelly has done it again. She also grabbed the King of Rap and made a baby maker.;positive
Jill Scott is the business always have me singing to the top of my lungs. Excellent;positive
I LOVE IT AS WELL AS THE LINE DANCE 2X4...SAT., 8-9-14;positive
OK for background music.;positive
I did not realize this was No Doubt and not Gwen Stefani on her own.  This song has some awesome beats.;positive
awesome get down and grunge with someone song.. play is loud is what I recommend for when you just got to let  it all hang out!;positive
good for simple listening;positive
This is the first song of Chapin's story about 2 people.  Buy it and its sequel  SEQUEL.;positive
Great work out music!;positive
The vast selection of musical artist is great, it'a a must have for anyone's collection...;positive
No complaints. It is more of kids song than a work out song.;positive
The beat is tight. Lyrics are well on point. Just a fun song to dance to. Nellly Furtado and Timbaland are a great combo.;positive
One of Kelly's best.  If you like Christmas, rock and roll and cool music, get this one.;positive
I love this song! I love Percy Gray!;positive
Commercial brought me here and I'm glad! Love this song!;positive
Wonderful! Just seen these guys at Winter Jam 2015!;positive
An excellent  collection of the master I did not yet own. The recordings are clear and well performed. I highly recommend it;positive
Fun song with wit and humour.  Reminds us all the first time we where ever alone with someone we really lijed;positive
one you hear this song it like an magnet it stay with you all day , strong vocal  and sounds of a master peace .;positive
Rock n Roll Icon.;positive
This song was a real hit in the day. I still love to listen to it and remember the warm summer evenings at the beach.;positive
I like Katy Perry;positive
I like this song better than Fetty's previous single (Trap Queen);positive
I love this song by Adam Lambert his vocals soar and the lyrics are personal to me. The performance last night on AI was EPIC>;positive
This is one of the greatest songs ever written;positive
just as I remembered it.;positive
Music? Hauntingly beautiful. Voice, lyrics? Awesome! Just a heart-wrenching, exceptional song.;positive
Works for Me, I was ten and the music was top taps even now!!...ha...cr/lasvgsnv;positive
love the old  songs;positive
Have listened to this song a thousand times. By it.;positive
Back to the islands;positive
If you are a Earth Wind and Fire Fan, you must have this album.  You will have hours of enjoyment in beautiful music.;positive
Banging as always.  Love Leo.  Keep it going.;positive
"Great Song ""Nuff Said""";positive
Good song for free.;positive
Great Song> One of the few that came to be a hit in the early 2000's. Great Guitarist. Great Melody. Great Price. Worth The Buy.;positive
She is my Overall Favorite Artist and would take a SANGER like her to bring back this old school sound.;positive
High four. Nice toon.;positive
A song that grew one me with frequent radio play. I've had a woman crush on Leelee for years!;positive
I remember this song from when I was a child and we actually had a milk man that delivered milk to our door!;positive
Christian music at its best;positive
I love the group. Love the song have nothing bad to say about the group or the song. Love country music always.;positive
As you see I took a turn from my old school R&B to classic rock a nice song, upbeat and fun.;positive
Great music and showmanship;positive
I got this for my 8 mo. old to listen to.  I like it as well.  Sounds authentic Scottish and well written.;positive
I really hadn't listened to the words till The Voice - I wanted to own it by the original artist.;positive
BEAUTIFUL SONG...AN THE GUYS ARE MY FAVORITE SINGERS...LEVERT,,SWEAT&GILL....I MISS GERALD SOO MUCH:(;positive
A great place to be.;positive
Although I still don't know what he was trying to say to me, I love the song.  : );positive
Classic! And, yay for Supernatural!;positive
This song is awesome it speaks to me;positive
An oldie and a goodie.;positive
This is my grandson's favorite song. He is 6! It is now my favorite song and I play it every day in my car!;positive
I gave this rating because I love this song. I have been a fan of this group for  long time.  I recommend this song to everyone.;positive
